nome,slug,url_pagina,data_lancamento,status,status_indice,categoria_coleta,no_recorte,resultados,urls_resultados,causa_falha,organizacao,pais,unidades_massa,oneliner
GreenCube,greencube,https://www.nanosats.eu/sat/greencube.html,2022-07-13,Operational (AMSAT Italia acquired part of the spacecraft on 2024-04-30),Operational,A(fraco) - câmera sem alvo declarado; B - coleta de plataformas (DCS/IoT),sim,"The GreenCube 3U+ CubeSat, launched on 13 July 2022 in MEO, has allowed extended operations of a nano-satellite in Medium Earth Orbit.
The spacecraft was aimed at testing a cultivation unit on-board a CubeSat platform in MEO for the cultivation of microgreens in an extremely challenging radiation environment. A secondary payload, a propulsion system, was implemented and tested. The satellite equips and currently operates an amateur radio digipeater in MEO.
The spacecraft is still operational after 14 months of mission, against the initial predictions of few months of activity, given the environmental conditions of the selected orbit. The satellite operations in MEO have allowed to gather many lessons learned on how to conduct UHF operations, including the modulation of baud rate with respect to elevation and the scheduling of conventionally executed operations, such as telemetry down link, high fidelity data (mainly for attitude determination) down link, software upgrade and in-orbit patching, etc.
While major modifications were considered, with respect to the standard S5Lab bus architecture for CubeSats, on the space segment, the ground segment required minor modifications for the UHF link at ground. The operations were conducted nominally. The extended usage of an amateur radio digipeater developed by the team allowed the radio amateur community to take advantage of a peculiar mission profile, allowing for intercontinental QSL, while lessons learned were gathered by the team for future amateur radio payload operations.","https://iafastro.directory/iac/proceedings/IAC-23/IAC-23/B4/3/manuscripts/IAC-23,B4,3,2,x79650.pdf | https://iafastro.directory/iac/proceedings/IAC-23/IAC-23/B4/3/manuscripts/IAC-23,B4,3,2,x79650.pdf | https://iafastro.directory/iac/proceedings/IAC-23/IAC-23/B4/3/manuscripts/IAC-23,B4,3,2,x79650.pdf | https://iafastro.directory/iac/proceedings/IAC-23/IAC-23/B4/3/manuscripts/IAC-23,B4,3,2,x79650.pdf",,Sapienza University of Rome,,3U,Test an autonomous laboratory for the cultivation of microgreens on-board a CubeSat platform.
TRISAT-R,trisat-r,https://www.nanosats.eu/sat/trisat-r.html,2022-07-13,Operational (Real-time website as of 2024-05-22),Operational,A - sensoriamento remoto,sim,"We are very pleased to announce that the SkyLabs on-board computer with an embedded GNSS receiver provided for the TRISAT-R mission has successfully locked to the navigation signals at the planned altitude of approximately 6000 km in the Medium Earth orbit (MEO).
The nanosatellite TRISAT-R flying in MEO received its first in-orbit software update of the attitude determination and control algorithm to stabilize the spacecraft into a stable two-axis attitude control.
TRISAT-R continues to operate reliably, despite being exposed to intense radiation in mid-Earth orbit (MEO) for more than seven months.
As of May 2024, TRISAT-R proved to be a robust nanosatellite in a very challenging orbit. Up to this date no critical radiation-based anomaly was observed, and, thanks to the shielding strategy, also no component degradation was observed, with exception of the solar panels, which are expectedly slowly losing maximum power capabilities due to their exposure to a high radiation environment. As it seems, the solar panel degradation will determine the end of life for TRISAT-R, but according to current predictions, we anticipate at least one more year of operation. The avionics platform FDIR mechanism also performed nominally, and during the mission we were able to perform two full firmware upgrades and 3 patches. The presented mission showed the potential as self-sufficient 3U remote sensing probes in MEO orbit, paving the way for a next generations of power optimized sensing probes for multi-point data collection",https://www.linkedin.com/feed/update/urn:li:activity:6970674752491302912/?updateEntityUrn=urn%3Ali%3Afs_feedUpdate%3A%28V2%2Curn%3Ali%3Aactivity%3A6970674752491302912%29 | https://www.linkedin.com/feed/update/urn:li:activity:6988768012640108544/?updateEntityUrn=urn%3Ali%3Afs_feedUpdate%3A%28V2%2Curn%3Ali%3Aactivity%3A6988768012640108544%29 | https://www.skylabs.si/trisat-r-with-nanosky-satellite-avionics-continues-to-operate-flawlessly/ | https://az659834.vo.msecnd.net/eventsairwesteuprod/production-atpi-public/c26933f15fa747c7abbb5aeec3c4e4a2,,University of Maribor,Slovenia,3U,Investigate and map ionizing radiation in MEO orbits using several different instruments.
Geoscan-Edelweiss,geoscan-edelveis,https://www.nanosats.eu/sat/geoscan-edelveis.html,2022-08-09,Reentry 2024-02-21. Was operational (As per on SpacePI website last checked 2022-12-26 and SatNOGS forums 2023-12-21)),"Reentered, Operational",A(fraco) - câmera sem alvo declarado,não,"For more than 8 months , the Geoscan-Edelweiss spacecraft has been operating in orbit and sending photos of its home planet. However, in addition to the camera, the satellite is equipped with a gas engine from the Fakel Design Bureau , created with the support of the Innovation Promotion Fund, which is still waiting for its finest hour. The Encyclopedia has an article describing it.
The first flight test of an engine is an exciting event that requires a careful approach. The team of Geoscan's small spacecraft development department develops an experimental plan, which is adjusted depending on the results of previous experience.
The engine consists of high pressure cylinders and a receiver - a small cylinder with low gas pressure. In fact, the receiver is a buffer volume of gas that enters here from the cylinders, and from here it is already fed directly into the engine nozzle. At the cosmodrome, high-pressure cylinders were filled with nitrogen up to 110 atmospheres, and the receiver - up to 2.5 atmospheres. There is a valve between the cylinders and the receiver, and before directing gas from the cylinders to the receiver, it must be “unblocked”.
26 April.
The tests began with checking the operation of the receiver, whether gas enters the engine nozzle through the valve. During the communication session, voltage was applied to the outlet valve and the pressure in it dropped to 2.3 atmospheres. This means that the engine valve is working successfully.
April 27th.
To ""unblock"" the valve between the cylinders and the receiver, you need to turn on the heater for 20 minutes. The temperature deforms the valve and opens the gas supply path from the cylinders to the valve. During one communication session at Geoscan-Edelweiss, the operator uploaded a task to turn on the heater, he chose the time so that 20 minutes would be completed by the time of the next session. And already at the next communication session, the telemetry indicators showed that the heater worked according to plan.
April 28th.
We tested the transfer of gas from the cylinder to the receiver. Telemetry data showed a decrease in cylinder pressure and an increase in receiver pressure. Filling the receiver up to 9.6 atmospheres, we made another check of the engine valve opening. And this stage of testing was successful!
The following experiments will establish what changes occur after one turn on of the receiver. Based on the results obtained, it will become clear how to construct a program for changing the orbit parameters.",https://spacepi.space/news/gazovyj-dvigatel-v-dejstvii/ | https://spacepi.space/news/gazovyj-dvigatel-v-dejstvii/ | https://spacepi.space/news/gazovyj-dvigatel-v-dejstvii/ | https://spacepi.space/news/gazovyj-dvigatel-v-dejstvii/ | https://spacepi.space/news/gazovyj-dvigatel-v-dejstvii/ | https://spacepi.space/news/gazovyj-dvigatel-v-dejstvii/ | https://spacepi.space/news/gazovyj-dvigatel-v-dejstvii/ | https://spacepi.space/news/gazovyj-dvigatel-v-dejstvii/ | https://spacepi.space/news/gazovyj-dvigatel-v-dejstvii/ | https://spacepi.space/news/gazovyj-dvigatel-v-dejstvii/,,Geoscan,Russia,3U,Designed for testing the platform and flight testing of the gas propulsion system of OKB Fakel.
SKOLTECH-B1,skoltech-b1,https://www.nanosats.eu/sat/skoltech-b1.html,2022-08-09,Reentry 2024-11-27. Was operational (As per on SpacePI website last checked 2022-12-26),"Reentered, Operational",—,não,"The attitude determination of the in orbit Skoltech CubeSats is successfully carried out. The attitude estimation is achieved via EKF and is controlled through the magnetic PD controller. The results show that for the precise attitude estimation, the incorporation of sensor error sources is necessary. Estimation of the sensor bias improves the readings, since the sensor now closely resembles to what it would behave under actual environment.
The estimation of the residual dipole in the system and then its incorporation in the rotational and filter dynamics depicts how the major disturbance source disrupts a satellite in LEO. The disturbance rejection applied to the controller provides a way to control attitude more accurately, despite the high magnitude magnetic disturbances. The final ADCS results, show an adequate estimation and control achieved within a reasonable time and with adequate accuracy. The results of the numerical experimentation on the designed ADCS, provide a basis for the design of the new CubeSat mission by providing requirements for various subsystems.
As a future work, the incorporation of temperature dependent bias models and various other attitude sensors, like sun sensors or star tracks, can be done to enhance the control accuracy. To improve the EKF performance, proper methodology can be devised to tune the covariance matrices so that the singularity can be avoided","https://iafastro.directory/iac/proceedings/IAC-23/IAC-23/B4/IP/manuscripts/IAC-23,B4,IP,22,x79393.pdf | https://iafastro.directory/iac/proceedings/IAC-23/IAC-23/B4/IP/manuscripts/IAC-23,B4,IP,22,x79393.pdf | https://iafastro.directory/iac/proceedings/IAC-23/IAC-23/B4/IP/manuscripts/IAC-23,B4,IP,22,x79393.pdf",,Skolkovo Institute of Science and Technology (Skoltech),Russia,3U,"Development of long-range inter-satellite communication technology, monitoring of cosmic radiation and gamma-ray bursts."
SKOLTECH-B2,skoltech-b2,https://www.nanosats.eu/sat/skoltech-b2.html,2022-08-09,Reentry 2024-09-29. Was operational (As per on SpacePI website last checked 2022-12-26),"Reentered, Operational",—,não,"The attitude determination of the in orbit Skoltech CubeSats is successfully carried out. The attitude estimation is achieved via EKF and is controlled through the magnetic PD controller. The results show that for the precise attitude estimation, the incorporation of sensor error sources is necessary. Estimation of the sensor bias improves the readings, since the sensor now closely resembles to what it would behave under actual environment.
The estimation of the residual dipole in the system and then its incorporation in the rotational and filter dynamics depicts how the major disturbance source disrupts a satellite in LEO. The disturbance rejection applied to the controller provides a way to control attitude more accurately, despite the high magnitude magnetic disturbances. The final ADCS results, show an adequate estimation and control achieved within a reasonable time and with adequate accuracy. The results of the numerical experimentation on the designed ADCS, provide a basis for the design of the new CubeSat mission by providing requirements for various subsystems.
As a future work, the incorporation of temperature dependent bias models and various other attitude sensors, like sun sensors or star tracks, can be done to enhance the control accuracy. To improve the EKF performance, proper methodology can be devised to tune the covariance matrices so that the singularity can be avoided","https://iafastro.directory/iac/proceedings/IAC-23/IAC-23/B4/IP/manuscripts/IAC-23,B4,IP,22,x79393.pdf | https://iafastro.directory/iac/proceedings/IAC-23/IAC-23/B4/IP/manuscripts/IAC-23,B4,IP,22,x79393.pdf | https://iafastro.directory/iac/proceedings/IAC-23/IAC-23/B4/IP/manuscripts/IAC-23,B4,IP,22,x79393.pdf",,Skolkovo Institute of Science and Technology (Skoltech),,3U,"Development of long-range inter-satellite communication technology, monitoring of cosmic radiation and gamma-ray bursts."
SXC3-2110 CYCLOPS,sxc3-2110-cyclopsOPS,https://www.nanosats.eu/sat/sxc3-2110-cyclopsOPS.html,2022-08-09,Reentry 2024-03-03. Was operational (As per on SpacePI website last checked 2022-12-26),"Reentered, Operational",—,não,"All this time, the device observed the earth's surface, studied the properties and efficiency of the energy storage device, and also studied the degradation of the characteristics of materials and the parameters of electronic devices in outer space conditions.
“CYCLOPS (RS29S)” was launched to an altitude of 500 km, however, due to the very high level of solar activity at the current stage of the solar cycle, the device descended much faster, braking against the heated and “swollen” earth’s atmosphere.",https://sputnix.ru/ru/o-nas/novosti/cyclops-rs29s-uspeshno-zavershil-svoyu-missiyu | https://sputnix.ru/ru/o-nas/novosti/cyclops-rs29s-uspeshno-zavershil-svoyu-missiyu,,Baltic State Technical University “VOENMEH”,Russia,3U,Study of the degradation of the characteristics of materials and parameters of electronic devices in outer space.
Serenity II,serenity-2,https://www.nanosats.eu/sat/serenity-2.html,2022-10-01,"Reentry 2022-10-05? 5 days due to lower than planned orbit. Signals received before reentry according to Payload interview on 2023-01-10. However, also have some conflicting information.","Reentered, Operational, ?",A(fraco) - câmera sem alvo declarado,não,,,Lower than planned orbit resulting in only 4-5 day orbital lifetime.,Teachers in Space,,3U,Educational mission to allow interaction with the CubeSat and blockchain for inter-satellite transactions.
TechEdSat-15,techedsat-15,https://www.nanosats.eu/sat/techedsat-15.html,2022-10-01,Reentry 2022-10-05? 5 days due to lower than planned orbit. Was operational (CDW 2023 presentation),"Reentered, Operational",B - coleta de plataformas (DCS/IoT),sim,Successful test of new flight software and data collection systems.,http://mstl.atl.calpoly.edu/~workshop/archive/2023/presentations/2023_Day1_Session1_Brock_MooneyRivki_TechEdSat.pdf,Lower than planned orbit resulting in only 4-5 day orbital lifetime.,NASA Ames Research Center,,3U,TechEdSat-15’s primary experiment is a version of an exo-brake intended to survive much higher temperature environments.
LINUSS 1,linuss,https://www.nanosats.eu/sat/linuss.html,2022-11-01,,Operational,A(fraco) - câmera sem alvo declarado,não,"A pair of Lockheed Martin cubesats that flew to geostationary Earth orbit in November performed maneuvers in close proximity and demonstrated other technologies for in-orbit servicing operations, company officials said April 17.
The Linuss experiment — short for Lockheed Martin’s In-space Upgrade Satellite System — went to orbit on the USSF-44 national security mission launched by a SpaceX Falcon Heavy.
The two cubesats, each the size of a toaster, were deployed 300 kilometers above geostationary orbit from a ring-shaped secondary payload that carried multiple smallsats.
They were released three days apart about 750 kilometers away from each other and a month later they were navigating within 400 meters of each other, Karla Brown, Linuss program manager, told reporters during a news conference at Lockheed Martin’s technology center at the Catalyst Campus.
One of the cubesats performed the role of servicing vehicle and the other was the resident space object. She said she expects the satellites to come even closer, to about 200 meters as the experiment continues.
The more significant goal that was accomplished was proving AI algorithms that would be needed to perform a space servicing mission, Brown said.
The experiment also helped to demonstrate a new ground system that uses S-band communications to command and control the company’s LM 50 small line of satellites that it’s building with bus manufacturer Terran Orbital.
Other goals of the experiment were to test space domain awareness cameras and support risk reduction of a docking port called Augmentation System Port Interface (ASPIN) that Lockheed Martin is trying to commercialize. Docking devices are used by servicing vehicles to refuel another satellite or attach a new sensor,",https://spacenews.com/lockheed-martin-declares-success-demonstrating-tech-for-in-orbit-satellite-servicing/ | https://spacenews.com/lockheed-martin-declares-success-demonstrating-tech-for-in-orbit-satellite-servicing/ | https://spacenews.com/lockheed-martin-declares-success-demonstrating-tech-for-in-orbit-satellite-servicing/ | https://spacenews.com/lockheed-martin-declares-success-demonstrating-tech-for-in-orbit-satellite-servicing/ | https://spacenews.com/lockheed-martin-declares-success-demonstrating-tech-for-in-orbit-satellite-servicing/ | https://spacenews.com/lockheed-martin-declares-success-demonstrating-tech-for-in-orbit-satellite-servicing/ | https://spacenews.com/lockheed-martin-declares-success-demonstrating-tech-for-in-orbit-satellite-servicing/ | https://spacenews.com/lockheed-martin-declares-success-demonstrating-tech-for-in-orbit-satellite-servicing/,,Lockheed Martin,,12U,Show how small satellites can be used to upgrade constellations or provide life-extension services like refueling.
LINUSS 2,linuss,https://www.nanosats.eu/sat/linuss.html,2022-11-01,,Operational,A(fraco) - câmera sem alvo declarado,não,"A pair of Lockheed Martin cubesats that flew to geostationary Earth orbit in November performed maneuvers in close proximity and demonstrated other technologies for in-orbit servicing operations, company officials said April 17.
The Linuss experiment — short for Lockheed Martin’s In-space Upgrade Satellite System — went to orbit on the USSF-44 national security mission launched by a SpaceX Falcon Heavy.
The two cubesats, each the size of a toaster, were deployed 300 kilometers above geostationary orbit from a ring-shaped secondary payload that carried multiple smallsats.
They were released three days apart about 750 kilometers away from each other and a month later they were navigating within 400 meters of each other, Karla Brown, Linuss program manager, told reporters during a news conference at Lockheed Martin’s technology center at the Catalyst Campus.
One of the cubesats performed the role of servicing vehicle and the other was the resident space object. She said she expects the satellites to come even closer, to about 200 meters as the experiment continues.
The more significant goal that was accomplished was proving AI algorithms that would be needed to perform a space servicing mission, Brown said.
The experiment also helped to demonstrate a new ground system that uses S-band communications to command and control the company’s LM 50 small line of satellites that it’s building with bus manufacturer Terran Orbital.
Other goals of the experiment were to test space domain awareness cameras and support risk reduction of a docking port called Augmentation System Port Interface (ASPIN) that Lockheed Martin is trying to commercialize. Docking devices are used by servicing vehicles to refuel another satellite or attach a new sensor,",https://spacenews.com/lockheed-martin-declares-success-demonstrating-tech-for-in-orbit-satellite-servicing/ | https://spacenews.com/lockheed-martin-declares-success-demonstrating-tech-for-in-orbit-satellite-servicing/ | https://spacenews.com/lockheed-martin-declares-success-demonstrating-tech-for-in-orbit-satellite-servicing/ | https://spacenews.com/lockheed-martin-declares-success-demonstrating-tech-for-in-orbit-satellite-servicing/ | https://spacenews.com/lockheed-martin-declares-success-demonstrating-tech-for-in-orbit-satellite-servicing/ | https://spacenews.com/lockheed-martin-declares-success-demonstrating-tech-for-in-orbit-satellite-servicing/ | https://spacenews.com/lockheed-martin-declares-success-demonstrating-tech-for-in-orbit-satellite-servicing/ | https://spacenews.com/lockheed-martin-declares-success-demonstrating-tech-for-in-orbit-satellite-servicing/,,Lockheed Martin,,12U,Show how small satellites can be used to upgrade constellations or provide life-extension services like refueling.
ZimSat-1,zimsat-1,https://www.nanosats.eu/sat/zimsat-1.html,2022-11-07,"Reentry 2023-05-16. Was semi-operational? (News from February 2023 about high rotation rates and slowing down. Two news about transmitting data from June 2023, 120 packets per pass, but spacecraft had decayed by then. No reception reports found on SatNOGS or Twitter. IAC2024 abstract implies that it is operational.)","Reentered, Semi-operational, ?",A - sensoriamento remoto; B - coleta de plataformas (DCS/IoT),sim,"2023-02-19: ZimSat-1 ready to transmit data. Will begin transmitting data from space next month after undergoing orbital stabilization.
2023-06-04: ZimSat-1 has started collecting data after undergoing orbital stabilization. Now sending and receving images of specific areas around Zimbabwe.
2023-06-05: Painos Gweme, Reports Progress on ZimSat-1. ZimSat-1 is operational and has commenced performing the downlink and uplink functions after a successful orbital stabilisation.
All the BIRDS-5 CubeSats decayed in May 2023, thus the timing of some of the news is late.",https://www.sundaymail.co.zw/zimsat-1-ready-to-transmit-data | https://www.sundaymail.co.zw/zim-satellite-starts-transmitting-data | https://africanews.space/zingsas-coordinator-painos-gweme-reports-progress-on-zimsat-1/,,Kyushu Institute of Technology,Zimbabwe,1U,Educational and amateur radio mission.
ArgoMoon,argomoon,https://www.nanosats.eu/sat/argomoon.html,2022-11-16,"Was operational until 2022-11-28 (Photos shared on Twitter on 2022-11-19 but orbit needs confirmation as of 2022-12-24, last signals 2022-11-28, EOM declared on 2023-03-17)",Was operational,A - sensoriamento remoto,sim,"Took images of the Earth and moon after deployment. However, the company said it needed more time than originally planned to commission the spacecraft.
Signals detected; imaged Earth and Moon; safing; received additional DSN passes; no signal since DOY 332 and spacecraft is out of propellant; EOM declared March 17, 2023.",https://spacenews.com/deep-space-smallsats-face-big-challenges/ | http://www.intersmallsatconference.com/past/2023/C.3%20-%20Lichten.zip,,Argotec,,6U,Take several historically significant pictures of the EM-1 mission and it will test some innovative communication systems.
BioSentinel,biosentinel,https://www.nanosats.eu/sat/biosentinel.html,2022-11-16,Operational (4S 2024 paper),Operational,—,não,"NASA’s
BioSentinel
cubesat was tumbling after deployment. Still, controllers were able to stabilize the spacecraft and maintain contact with it as it flew by the moon to study the effects of radiation on microorganisms.
Over 100 successful comm passes and 3 experiments run to date as of May 2023 as per Interplanetary SmallSat Conference 2023.
NASA has decided to extend BioSentinel’s mission by up to an additional 18 months, or as late as November 2024, to continue collecting this valuable deep space radiation data in the unique, high-radiation environment beyond low Earth orbit.
We are still able to downlink all detailed bus and radiation data at our highest data rates through April 2024 on 34m stations. After that time, our spacecraft’s distance to Earth will have increased so far that our link budget requires either 70m stations or we will have to selectively prioritize data at slower downlink rates.
As of April 2024, the BioSentinel mission has completed its first year and a half of ongoing spacecraft operations and measurements successfully. The flight dynamics team has guided the spacecraft from its deployment in Earth orbit, through a lunar flyby and to its final science orbit, in an Earth-trailing heliocentric orbit. Since then, the tracking data has been processed regularly every few weeks, showing an stable orbit configuration.",https://spacenews.com/deep-space-smallsats-face-big-challenges/ | http://www.intersmallsatconference.com/past/2023/A.1%20-%20Dono.zip | https://www.nasa.gov/image-feature/ames/nasa-extends-biosentinels-mission-to-measure-deep-space-radiation | https://digitalcommons.usu.edu/smallsat/2023/all2023/67/ | https://az659834.vo.msecnd.net/eventsairwesteuprod/production-atpi-public/b887c4ed81f3460da634da2fc348c281,,NASA Ames Research Center,US,6U,Developing deep space CubeSat technologies and radiation biosensor to gauge DNA damage and repair beyond LEO.
CuSP,cusp,https://www.nanosats.eu/sat/cusp.html,2022-11-16,"Was operational until 2022-11-16, half a day with a 1 hour of listen-only transmission (Official update on NASA blog on 2022-12-08 as of 2022-12-24)",Was operational,—,não,"Returned telemetry for an hour shortly after its deployment but has not been heard from since. Ominously, the last data from the spacecraft showed a temperature spike in one of its batteries.
Carrier briefly detected, then lost. Spacecraft health in question. DSN used special SPK files + OLR to search.
Initial detection over DSS-25 only for 1 hour 16 minutes, with no subsequent detections. Residual frequencies, SNR, and sky frequency were sent to the NOPE and the CuSP spacecraft team, as well as a 1-MHz movie. Telemetry frames from 1-MHz backup recording confirmed that the signal was, in fact, CuSP. Further post-processing analyses found other signal detections in the data—these were found to be RFI from BIOS.
The Southwest Research Institute’s CuSP mission (red), whose intended destination was a heliocentric orbit, had a brief period of carrier detection by the DSN which was lost despite the use of special search techniques","https://spacenews.com/deep-space-smallsats-face-big-challenges/ | http://www.intersmallsatconference.com/past/2023/C.3%20-%20Lichten.zip | http://www.intersmallsatconference.com/past/2023/B.6%20-%20Buccino.zip | https://iafastro.directory/iac/proceedings/IAC-23/IAC-23/B4/8/manuscripts/IAC-23,B4,8,1,x78804.pdf","Was operating mostly as expected for the 1 hour contact. The solar arrays deployed, and they were stable and pointing at the Sun. However, anomalous software resets and temperature readings were reported during the contact.",Southwest Research Institute,US,6U,First protype of an interplanetary CubeSat space weather station to study solar particles.
EQUULEUS,equuleus,https://www.nanosats.eu/sat/equuleus.html,2022-11-16,Was operational until 2023-05-18 (Likely tumbling and limited power as per SmallSat 2024 paper),Was operational,A(fraco) - câmera sem alvo declarado,não,"EQUULEUS, a Nano-Explorer Heading for the Moon, Successfully Maneuvers Beyond Low Earth Orbit for the First Time in the World With a Water Thruster on Board.
PHOENIX: Plasmasphere Telescope
After launch, the initial checkout (health check, shutter operation, HV operation, etc.) of PHOENIX has started in December 2022, and in-flight calibration is underway based on the observation results of the white dwarf HZ43 and the moon obtained in April 2023.
CLOTH: Dust Detector
Since the initial check-out operation was successfully conducted on November 25, 2022, CLOTH has achieved 2473 hours of cumulative observation time (waiting time for dust detection) and recorded more than 0.5 million events including a huge amount of noise events. We identified some candidates for dust impact events from the ongoing data screening process, carefully comparing the ground calibration results. One of the candidates shows similar signal features such as pulse amplitude, width, and number to those obtained with a 20-micron particle impacted at 6 km/s.
DELPHINUS: Lunar Impact Flash Telescope
When a meteoroid with a diameter of several centimeters to several tens of centimeters impacts the lunar surface, a Lunar Impact Flash, here after ""LIF"", is produced in the visible to near-infrared wavelength range which can be observed by ground-based telescopes as a magnitude 5 to 11 with short duration, 0.01 to 0.1 seconds, flash. Some first light images observed by DELPHINUS are shown.
After completing its major orbital maneuvers and achieving full mission success, communication with EQUULEUS was lost in 18th May 2023. Rapid fault tree analysis and optical observations using large telescopes indicated the spacecraft was likely in an uncontrolled tumbling state. Recovery operations were planned to re-establish communication by identifying potential times for sufficient solar power generation",https://pale-blue.co.jp/news/299/ | https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=5827&context=smallsat,Uncontrolled tumbling state,JAXA,,6U,Lunar L2 (libration-point) orbiter to demonstrate technologies and characterize environment.
LunaH-Map,lunah-map,https://www.nanosats.eu/sat/lunah-map.html,2022-11-16,"Was operational until May 2023, retired (Official update on 2022-12-07 but orbit needs confirmation and thruster valve currently stuck as of 2022-05-01, EOM end of May 2023 unless ignition is achieved, which was not the case)","Retired, Operational",A - sensoriamento remoto,sim,"On Nov. 28, NASA’s LunaH-Map spacecraft acquired its first star tracker image, showing the constellation Auriga and its two brightest stars, Menkalinan and Mahasim.
The mission team also made several attempts to image the Earth and Moon; however, these images resulted in saturation of the star tracker. In the coming weeks, additional imaging opportunities of the Earth and Moon will be evaluated to help further demonstrate these novel autonavigation capabilities.
While a recent telemetry downlink showed an unexpected spacecraft reset, a Deep Space Network (DSN) pass has since indicated that, with the exception of the likely stuck propulsion system valve, the spacecraft is healthy with all subsystems nominal and operating as expected.
The problem instead was with the cubesat’s propulsion system, an electric thruster called BIT-3 from Busek that uses solid iodine as propellant. The thruster did not operate as expected in the days after launch, causing the spacecraft to miss its primary opportunity to maneuver into orbit around the moon.
Propulsion system (Busek ion thruster) unable to activate; missed LOI; losing link margin; using DSN arrays to close link.
LunaH-Map Mission Status (Interplanetary Small Satellite Conference 2023):
Batteries at 70% SOC on deployment (consistent with optimistic predicts from lab data).
All spacecraft systems were commissioned successfully.
Neutron data were collected early after deployment.
Reaction wheel speeds are being managed via reorienting the spacecraft.
Successfully acquired star field and planet images with star tracker.
Propulsion system did not ignite after initial attempts prior to the lunar flyby:
This was not unexpected given the long wait after spacecraft delivery to launch (over a year) ß more on this later.
Doppler ranging data showed detectable spacecraft motion during ignition attempts, and reaction wheel speeds change in directions consistent with minor amount of iodine flow. This suggests a partially stuck valve.
The propulsion system has heaters to condition the valve to unstick, however, to date attempts at raising tank and valve temperatures have been unsuccessful.
EOM will be end of May 2023 unless ignition is achieved.
Contacts 2X per week continue to attempt ignition.",https://blogs.nasa.gov/lunah-map/2022/12/07/nasas-lunah-map-captures-image-of-auriga-constellation/ | https://blogs.nasa.gov/lunah-map/2022/12/07/nasas-lunah-map-captures-image-of-auriga-constellation/ | https://blogs.nasa.gov/lunah-map/2022/12/07/nasas-lunah-map-captures-image-of-auriga-constellation/ | https://spacenews.com/deep-space-smallsats-face-big-challenges/ | http://www.intersmallsatconference.com/past/2023/C.3%20-%20Lichten.zip | http://www.intersmallsatconference.com/past/2023/A.2%20-%20Hardgrove.zip | http://www.intersmallsatconference.com/past/2023/A.2%20-%20Hardgrove.zip | http://www.intersmallsatconference.com/past/2023/A.2%20-%20Hardgrove.zip | http://www.intersmallsatconference.com/past/2023/A.2%20-%20Hardgrove.zip | http://www.intersmallsatconference.com/past/2023/A.2%20-%20Hardgrove.zip | http://www.intersmallsatconference.com/past/2023/A.2%20-%20Hardgrove.zip | http://www.intersmallsatconference.com/past/2023/A.2%20-%20Hardgrove.zip | http://www.intersmallsatconference.com/past/2023/A.2%20-%20Hardgrove.zip | http://www.intersmallsatconference.com/past/2023/A.2%20-%20Hardgrove.zip | http://www.intersmallsatconference.com/past/2023/A.2%20-%20Hardgrove.zip | http://www.intersmallsatconference.com/past/2023/A.2%20-%20Hardgrove.zip | http://www.intersmallsatconference.com/past/2023/A.2%20-%20Hardgrove.zip,Propulsion valve is likely stuck but otherwise operational.,Arizona State University,US,6U,"Map the hydrogen content of the entire South Pole of the moon, including within permanently shadowed regions at high resolution."
Lunar IceCube,lunar-icecube,https://www.nanosats.eu/sat/lunar-icecube.html,2022-11-16,"Was operational until 2022-11-16, 1 hour? (Contact made as reported by NASA on Twitter on 2022-11-17 but orbit needs confirmation as of 2022-12-24)",Was operational,—,não,"Made contact with controllers shortly after deployment. However, in a Nov. 29 update, NASA’s Goddard Space Flight Center said that the mission team was “continuing its attempts to communicate with the CubeSat so that it can be placed into its science orbit in the coming days.” NASA has not provided an update since then, and the mission’s principal investigator at Morehead State University did not respond to a request for comment.
Carrier briefly detected (~ 1 hr) with large frequency offset, then lost.
Acquisition over DSS-25 at DSS-25’s official BOT (320/12:50). No explanation for lack of detection at DSS-53. Loss of signal at 13:50:21. No further acquisitions. RS provided post-processed data and supported continued tracks for 3 weeks after the launch event.
The Lunar IceCube (red) mission from the Morehead State University had a brief period of about one hour of signal carrier detection with a large offset from the predicted frequency prior to the loss of the mission.","https://spacenews.com/deep-space-smallsats-face-big-challenges/ | http://www.intersmallsatconference.com/past/2023/C.3%20-%20Lichten.zip | http://www.intersmallsatconference.com/past/2023/B.6%20-%20Buccino.zip | https://iafastro.directory/iac/proceedings/IAC-23/IAC-23/B4/8/manuscripts/IAC-23,B4,8,1,x78804.pdf",,Morehead State University,US,6U,Prospect for water ice and other lunar volatiles from a low-perigee lunar orbit
LunIR,lunir,https://www.nanosats.eu/sat/lunir.html,2022-11-16,Was semi-operational? (Post on Twitter on 2022-12-08 as of 2022-12-24),Was semi-operational,A - sensoriamento remoto,sim,"The company said in December that an “unexpected issue with our radio signal” kept the spacecraft from conducting any observations during the flyby. Nonetheless, Lockheed called the mission a successful technology demonstration by proving that an infrared sensor and cryocooler could be packaged into a 6U cubesat.
Solar panel(s) partially deployed, blocking antenna; flyby failed; DSN help requested.",https://spacenews.com/deep-space-smallsats-face-big-challenges/ | http://www.intersmallsatconference.com/past/2023/C.3%20-%20Lichten.zip,Ran into an unexpected issue with our radio signal and couldn’t snap any pics of the Moon.,Lockheed Martin,US,6U,Lunar fly-by to collect spectroscopy and thermography using mid-wave infra-red sensor.
